"id","image_url","x","y","is_hand","is_note","word"
609,"Master_00609.jpg",319,141,1,0,""
610,"Master_00610.jpg",305,132,1,0,""
611,"Master_00611.jpg",308,131,1,0,""
612,"Master_00612.jpg",300,131,1,0,""
613,"Master_00613.jpg",297,130,1,0,""
614,"Master_00614.jpg",294,129,1,0,""
615,"Master_00615.jpg",294,141,1,1,"ry"
616,"Master_00616.jpg",291,145,1,1,"ry"
617,"Master_00617.jpg",291,147,1,1,"ry"
618,"Master_00618.jpg",287,144,1,1,"ry"
619,"Master_00619.jpg",280,150,1,1,"ry"
620,"Master_00620.jpg",273,154,1,1,"ry"
621,"Master_00621.jpg",273,161,1,1,"ry"
622,"Master_00622.jpg",262,160,1,1,"ry"
623,"Master_00623.jpg",258,166,1,1,"ry"
624,"Master_00624.jpg",255,178,1,1,"ry"
625,"Master_00625.jpg",255,177,1,1,"ry"
626,"Master_00626.jpg",253,195,1,0,""
627,"Master_00627.jpg",261,216,1,0,""
628,"Master_00628.jpg",269,243,1,0,""
629,"Master_00629.jpg",266,258,1,0,""
630,"Master_00630.jpg",275,266,1,0,""
631,"Master_00631.jpg",284,296,1,1,"of"
632,"Master_00632.jpg",291,313,1,0,""
633,"Master_00633.jpg",301,307,1,0,""
634,"Master_00634.jpg",306,312,1,0,""
635,"Master_00635.jpg",308,312,1,0,""
636,"Master_00636.jpg",315,299,1,0,""
637,"Master_00637.jpg",318,285,1,0,""
638,"Master_00638.jpg",323,274,1,0,""
639,"Master_00639.jpg",323,253,1,0,""
640,"Master_00640.jpg",339,199,1,0,""
641,"Master_00641.jpg",334,183,1,1,"our"
642,"Master_00642.jpg",326,159,1,1,"our"
643,"Master_00643.jpg",323,156,1,1,"our"
644,"Master_00644.jpg",359,126,1,1,"our"
645,"Master_00645.jpg",355,96,1,1,"our"
646,"Master_00646.jpg",360,105,1,1,"our"
647,"Master_00647.jpg",383,89,1,1,"our"
648,"Master_00648.jpg",369,74,1,1,"our"
649,"Master_00649.jpg",360,61,1,0,""
650,"Master_00650.jpg",358,61,1,1,"song"
651,"Master_00651.jpg",356,67,1,0,""
652,"Master_00652.jpg",343,101,1,0,""
653,"Master_00653.jpg",349,75,1,0,""
654,"Master_00654.jpg",348,79,1,0,""
655,"Master_00655.jpg",348,87,1,0,""
656,"Master_00656.jpg",347,87,1,0,""
657,"Master_00657.jpg",349,101,1,0,""
658,"Master_00658.jpg",350,107,1,0,""
659,"Master_00659.jpg",349,110,1,0,""
660,"Master_00660.jpg",341,106,1,0,""
661,"Master_00661.jpg",349,119,1,0,""
662,"Master_00662.jpg",334,169,1,0,""
663,"Master_00663.jpg",341,160,1,0,""
664,"Master_00664.jpg",341,182,1,0,""
665,"Master_00665.jpg",326,186,1,0,""
666,"Master_00666.jpg",315,219,1,0,""
